part	title	supports	n_rows	n_cols	status	notes	file	sources	built
01	Cohort and dataset characteristics	Methods; all analyses	37	26	complete	Percentages are donor-level, not cell-weighted. The ALL DATASETS row carries the analysis denominators: >=10 pericytes is the primary donor filter, >=20 the sensitivity filter. The cohorts do NOT carry equivalent metadata: `cell_count_basis` states what n_cells counts and `donor_metadata_available` names the donor attributes each source deposits, so a blank cell can be read as absent at source rather than as an omission. LungMAP in particular deposits only age, sex and batch, on a developmental age scale that is not comparable to the HLCA adult donors.	tableS01.tsv	pericyte_states/_m/pericytes_states_metadata.tsv.gz; cross_species/_m/stats_data/species_comparability_summary.tsv; disease_association/ipf_analysis/_h/sample_demo.csv; inputs/gtex/_m/gtex_v11_lung_sample_data.tsv; inputs/lungmap/_m/GSE161382_metadata.txt.gz; localization/lungmap_replication/_m/annotated_clusters_filtering_summary.tsv	2026-09-08 16:21:02
03	Curated pericyte program gene sets	Figure 2; Figure 3; Methods	157	12	complete	Panels are IMPORTED from the modules that define them, not copied, so this table cannot fork from the code that built the scores. `n_state_programs` counts membership across the six primary programs only; BM subpanels are subsets of basement_membrane and would inflate the count. 0 of 102 curated genes are absent from the analysis object.	tableS03.tsv	pericyte_states/_h/00.state_discovery.py (STATE_PANELS); basement_membrane/_h/bm_panels.py; pericyte_states/_m/pericyte_states.h5ad	2026-09-08 10:51:38
04	Stable pericyte cluster characteristics and program assignments	Figure 2; Figure S7	6	31	complete	Clusters are bootstrap-stable Leiden clusters on the study-integrated embedding, not marker-defined. `*_relenrich` is enrichment of a program score relative to the other clusters. Denoised AGTR1 is the Pericyte-only-trained scVI model. Per-cluster mean bootstrap Jaccard ranges 0.59-0.99 across the 6 clusters; the solution-level median of 0.966 conceals this spread, so per-cluster values should be cited rather than the median alone.	tableS04.tsv	pericyte_states/_m/annotations/state_summary.tsv; pericyte_states/_m/stability/cluster_bootstrap_jaccard.tsv; localization/airspace_analysis/_m/airspace/pericytes_airspace_denoising.tsv	2026-09-10 12:31:49
07	Donor- and cell-level correlations across the pericyte analyses	Figures 1-3; Figures S1, S4, S7	49	15	complete	BH ADDED HERE for the pseudotime correlations (adjusted within level) and for any block whose source stored only a nominal P. The cell-level BM-axis rows carry a Fisher-z 95% CI and a P computed for this table: the source file stored a bare Pearson r with no n, interval or test. P values shown as '<2.2e-16' underflowed in the source.	tableS07.tsv	pericyte_states/_m/pseudotime_trend_correlations.tsv; pericyte_states/_m/stats_data/{acta2_control,AGTR1_program}_correlations.tsv; basement_membrane/_m/stats_data/{bm_vs_fibrillar_corr,bm_continuum_summary}.tsv; basement_membrane/_m/state_gate_axis_correlation.tsv; localization/pericyte_analysis/_m/stats_data/correlation_by_subcluster.tsv	2026-09-08 10:52:26
02A	Mouse lung mural-cell composition and dataset comparability	Figure S2	61	3	complete	The mouse mural set is overwhelmingly smooth muscle; human program labels transferred onto it are SMC labels and support no state-level claim. Outputs of cross_species/_h/03.conservation_stats.R are superseded and deliberately excluded.	tableS02A.tsv	cross_species/_m/stats_data/species_comparability_summary.tsv; ..._celltype_by_dataset.tsv; ..._state_by_celltype.tsv; ..._pericyte_by_donor.tsv	2026-09-08 16:21:02
02B	Within-dataset Agtr1a detection tests (pericytes vs smooth muscle)	Figure S2	5	13	complete	Raw counts. Fisher exact within each dataset that contains both cell types, a Mantel-Haenszel test stratified by dataset, and the same comparison at DONOR level (Fisher on donors with >=1 Agtr1a+ cell, and an exact McNemar over donors contributing both cell types). BH is over the two independent within-dataset Fisher rows ONLY; the Mantel-Haenszel and donor rows are the same data re-presented and carry NA with a reason in `bh_excluded_reason`. QUOTE THE DONOR-LEVEL ROWS: the cell-level tests treat cells from one donor as independent.	tableS02B.tsv	cross_species/_m/stats_data/species_comparability_agtr1a_tests.tsv	2026-09-08 16:21:02
05A	AGTR1 dropout model: observed vs depth-matched expected undetected cells	Figure 1; Results (localization)	1	10	complete	Expected zeros from depth- and expression-matched control genes (FFT method, n_matched genes). The model is fit for AGTR1 only -- no AGTR2 or ACTA2 row exists. A ratio near 1 with a non-significant P means AGTR1 is NOT excessively dropped out relative to matched transcripts.	tableS05A.tsv	localization/pericyte_analysis/_m/qc_results/dropout_expectation_results.tsv	2026-09-10 12:31:49
05B	Airspace-affinity models for AGTR1 (cell level and donor level)	Figure 1; Figure S1	2	13	complete	BH ADDED HERE: neither source file carried an adjusted P. The donor-level CI is derived as estimate +/- 1.96*SE; the source CSV stored only estimate, se and p. Full model summaries with all covariate rows are in airspace_model_summary.txt and airspace_lmm_per_cell_summary.txt.	tableS05B.tsv	localization/airspace_analysis/_m/airspace/airspace_effect_AGTR1_per_cell.csv; localization/airspace_analysis/_m/airspace/airspace_effect_AGTR1.csv	2026-09-10 12:31:49
06A	ACTA2 benchmark: AGTR1 is not reducible to ACTA2+ contractile identity	Figure S4	22	13	complete	Panel A rows are centred donor-aware program marginal means; panel B rows are donor x program pseudobulk correlations (n = 154). The 'A (contrasts)' rows are the pairwise program contrasts, which the original source-data file omitted. Both raw AGTR1-ACTA2 correlations vanish under denoising -- the signature of shared dropout, not shared biology.	tableS06A.tsv	figures/mechanism/tableS_acta2_control.tsv; pericyte_states/_m/stats_data/acta2_by_program_posthoc.tsv	2026-09-08 10:52:23
08A	Basement-membrane panel definition and pericyte detection	Figure 3A	20	12	complete	Panel provenance: basement_membrane/_h/bm_panels.py. Detection statistics are within pericytes only.	tableS08A.tsv	basement_membrane/_m/bm_panel_genes.tsv; basement_membrane/_m/bm_gene_detection_pericytes.tsv	2026-09-08 10:52:26
08B	Per-gene pericyte selectivity of basement-membrane components	Figure 3C	459	25	complete	Contrast rows are Pericytes minus each other population. `p_BH_across_genes` is the source script's BH adjustment. Orthogonal replicates without the depth covariate and with a detection GLMM are in bm_selectivity_emmeans_nodepth.tsv and bm_detection_glmm.tsv.	tableS08B.tsv	basement_membrane/_m/stats_data/bm_tau_specificity.tsv; basement_membrane/_m/stats_data/bm_selectivity_emmeans.tsv	2026-09-08 10:52:26
08C	Figure 3A/3B source data: matrix-panel expression across 22 lung cell types	Figure 3A; Figure 3B	440	14	complete	Model: expr_z ~ ccc_group + mean_log10_total_counts + (1|donor_id) + (1|study), healthy donors only. `z_within_gene` is the panel colour and `detect_frac` the dot size; both, and the per-cell-type denominators, were computed inline in the figure script and are written to a file for the first time here. Cohort totals: 2,329 eligible donor x cell-type profiles, 220 healthy donors, 22 populations.	tableS08C.tsv	basement_membrane/_m/stats_data/bm_celltype_profile.tsv; basement_membrane/_m/bm_pseudobulk_celltype.tsv.gz	2026-09-08 10:52:26
09A	Cluster-level basement-membrane and contrast-panel scores (marginal means)	Figure S17A	90	10	complete	15 panel scores across the 6 stable pericyte clusters. Grouping is `pericyte_state` (Leiden on X_pca_harmony), not `state_program`: the latter is assigned by an argmax that includes the BM panel, so testing a BM score against it would be circular.	tableS09A.tsv	basement_membrane/_m/stats_data/bm_by_cluster_emmeans.tsv	2026-09-08 10:52:27
09B	Cluster-level basement-membrane scores: pairwise contrasts	Figure S17A	225	9	complete	`p_BH_within_score` is the source file's `p.value`, renamed: emmeans::pairs was called with adjust = 'BH', so it is already adjusted across the 15 contrasts within each score and must NOT be adjusted again. The basement-membrane score has 10 contrasts significant at BH < 0.05, which is the figure quoted in BM_SUMMARY.md.	tableS09B.tsv	basement_membrane/_m/stats_data/bm_by_cluster_posthoc.tsv	2026-09-08 10:52:27
09C	Basement-membrane score adjusted for the fibrillar-ECM panel (orthogonal model)	Figure S17A	21	14	complete	Tests whether the cluster-level BM signal survives adjustment for the correlated fibrillar matrix program. Contrast P values are already BH-adjusted by the source script (emmeans::pairs adjust = 'BH').	tableS09C.tsv	basement_membrane/_m/stats_data/bm_orthogonalized_emmeans.tsv; basement_membrane/_m/stats_data/bm_orthogonalized_posthoc.tsv	2026-09-08 10:52:27
09D	Subpanel robustness of the basement-membrane program assignment	Figure 3H	37	24	complete	Variants drop each BM subpanel in turn (collagen IV only, laminin only, linker only) and remove the shared COL4A1 from the fibroblast-like contrast panel. `flipped` marks a cluster whose dominant program changes under the variant.	tableS09D.tsv	basement_membrane/_m/state_gate_robustness.tsv; basement_membrane/_m/state_gate_{crosstab,relenrich,summary}.tsv	2026-09-08 10:52:27
09E	Associations of the two matrix programs with AGTR1 and TGF-beta signalling	Figure S17B; Figure S17C	48	22	complete	Outcomes are the basement-membrane score, the fibrillar- collagen score, their difference, and the BM score orthogonalized against the frozen fibrillar_ecm panel. The scVI-denoised lens is the AGTR1 readout; the raw and detection lenses are carried as the dropout-sensitive comparison and must not be read as the answer. The TGF-beta response panel shares no gene with either matrix panel or with any pericyte_states program (asserted in basement_membrane/_h/bm_panels.py), so the association is not arithmetic.	tableS09E.tsv	basement_membrane/_m/stats_data/bm_vs_agtr1_{models,within_donor}.tsv; basement_membrane/_m/stats_data/bm_vs_tgfb_{models,within_donor}.tsv	2026-09-08 10:52:27
10A	NicheNet ligand prioritization for the pericyte injury program	Figure 4	321	15	complete	All 321 ranked candidate ligands. `aupr_corrected` is the ranking statistic. A sender population counts as expressing a ligand at fraction >= 0.1, the same threshold 02.nichenet.R used. `ligand_class` is curated by hand: the repo's gene_program_detection.tsv covers only 34 panel genes and is missing seven of the eleven prioritized ligands.	tableS10A.tsv	cell_communication/_m/nichenet/ligand_activities_Pericytes.tsv; cell_communication/_m/expressed_fraction_per_group.tsv.gz; cell_communication/_m/liana_into_receivers_main.tsv.gz	2026-09-08 10:52:29
10B	Matched-gene-set specificity of the prioritized ligands (injury target set)	Figure S8A-B	25	16	complete	Top 25 ligands against 1000 matched random target sets. The empirical P floor is 1/(1000+1) = 0.000999; every prioritized ligand sits at the floor, i.e. no null replicate reached the observed AUPR. Do NOT compare this floor with Table S11, which used 10,000 permutations.	tableS10B.tsv	cell_communication/_m/nichenet/nichenet_specificity_Pericytes.tsv	2026-09-08 10:52:29
10C	Donor-level validation of the predicted sender-to-pericyte association	Figure 4D; Figure S8C	10	16	complete	TWO SPECIFICATIONS, both published, on different figures: lm(+dataset fixed) is Figure 4D, where the panel is a partial-regression plot whose drawn slope IS this coefficient; lmer(+1|dataset) is Figure S8C. They give materially different estimates and must not be quoted interchangeably. BH is applied within each model family.	tableS10C.tsv	cell_communication/_m/donor_validation/donor_validation_results.tsv	2026-09-08 10:52:29
10D	Robustness of ligand prioritization to the definition of the receiver population	Figure S9A-C	3273	19	complete	Receiver schemes: whole pericytes, the three stable dominant-program receivers, and the five CoGAPS-defined receivers. `topk_overlap` uses k = 20.	tableS10D.tsv	cell_communication/_m/receiver_concordance/*.tsv	2026-09-08 10:52:29
11A	Ligand prioritization against the basement-membrane target set	Figure S9D	321	19	complete	All 321 candidate ligands against the basement-membrane genes expressed in pericytes (12 of the 20-gene panel; read the count from the run log, do not assume it), with 10,000 matched random target sets -- ten times the injury-set analysis, so the empirical P floor is 1/(10,000+1) = 9.999e-05. `rank_frozen` is the injury-program rank, so rank_change is positive when a ligand matters less for BM than for injury.	tableS11A.tsv	basement_membrane/_m/nichenet_bm/ligand_activities_BM_Pericytes.tsv; basement_membrane/_m/nichenet_bm/bm_vs_frozen_ligand_ranking.tsv	2026-09-08 10:52:30
11B	Comparison of basement-membrane and injury-program ligand rankings	Figure S9D	7	2	complete	RECOMPUTED for this table: these summary statistics existed only as prose in bm_nichenet_README.txt. A modest rank correlation with partial top-20 overlap is the evidence for a partly distinct predicted regulatory architecture.	tableS11B.tsv	basement_membrane/_m/nichenet_bm/bm_vs_frozen_ligand_ranking.tsv	2026-09-08 10:52:30
11C	Full ligand-to-basement-membrane-target regulatory-potential matrix	Figure S9D	3852	11	complete	Complete 321 ligands x 12 targets = 3852 pairs, sliced directly from the NicheNet prior regulatory-potential matrix. IMPORTANT: the target set is the 12 basement-membrane genes expressed in pericytes above the 0.10 threshold, not all 13 -- LAMA3, LAMA5, AGRN fall below the receiver expression threshold and were never in the tested gene set. `shown_in_figure_heatmap` marks the 27 links the Figure S9D heatmap displays, which are the pairs surviving get_weighted_ligand_target_links(n = 200) plus the 0.33 visualization cutoff. The matrix is dense, so absolute weights are only meaningful relative to other pairs; the two rank columns give that comparison.	tableS11C.tsv	basement_membrane/_m/nichenet_bm/ligand_target_matrix_BM_Pericytes.tsv; basement_membrane/_m/nichenet_bm/ligand_target_links_BM_Pericytes.tsv	2026-09-08 10:52:32
